Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
AP012306.1	63173	64873		minus	L-ribulokinase	araB	0	protein-coding		BAL37376.1	566	ECMDS42_0056
AP012306.1	65212	66090		plus	DNA-binding transcriptional dual regulator	araC	0	protein-coding		BAL37377.1	292	ECMDS42_0057
AP012306.1	66176	66940		plus	conserved inner membrane protein	yabI	0	protein-coding		BAL37378.1	254	ECMDS42_0058
AP012306.1	67054	67752		minus	thiamin transporter subunit	thiQ	0	protein-coding		BAL37379.1	232	ECMDS42_0059
AP012306.1	67736	69346		minus	fused subunits of thiamin transporter	thiP	0	protein-coding		BAL37380.1	536	ECMDS42_0060
AP012306.1	69322	70305		minus	thiamin transporter subunit	tbpA	0	protein-coding		BAL37381.1	327	ECMDS42_0061
AP012306.1	70469	72124		minus	DNA-binding transcriptional regulator	sgrR	0	protein-coding		BAL37382.1	551	ECMDS42_0062
AP012306.1	72192	72418		plus	uncharacterized gene	sgrS	0	misc_RNA				ECMDS42_0063
AP012306.1	72446	73624		plus	broad specificity sugar efflux system	setA	0	protein-coding		BAL37383.1	392	ECMDS42_0064
AP012306.1	73673	74278		minus	3-isopropylmalate isomerase subunit	leuD	0	protein-coding		BAL37384.1	201	ECMDS42_0065
AP012306.1	74289	75689		minus	3-isopropylmalate isomerase subunit, dehydratase component	leuC	0	protein-coding		BAL37385.1	466	ECMDS42_0066
AP012306.1	75692	76783		minus	3-isopropylmalate dehydrogenase	leuB	0	protein-coding		BAL37386.1	363	ECMDS42_0067
AP012306.1	76783	78354		minus	2-isopropylmalate synthase	leuA	0	protein-coding		BAL37387.1	523	ECMDS42_0068
AP012306.1	78447	78533		minus	leu operon leader peptide	leuL	0	protein-coding		BAL37388.1	28	ECMDS42_0069
AP012306.1	79193	80137		plus	DNA-binding transcriptional activator	leuO	0	protein-coding		BAL37389.1	314	ECMDS42_0070
AP012306.1	80455	82179		plus	acetolactate synthase III, large subunit	ilvI	0	protein-coding		BAL37390.1	574	ECMDS42_0071
AP012306.1	82182	82673		plus	acetolactate synthase III, thiamin-dependent, small subunit	ilvH	0	protein-coding		BAL37391.1	163	ECMDS42_0072
AP012306.1	82853	83857		plus	DNA-binding transcriptional dual regulator	fruR	0	protein-coding		BAL37392.1	334	ECMDS42_0073
AP012306.1	84459	84917		plus	conserved protein	mraZ	0	protein-coding		BAL37393.1	152	ECMDS42_0074
AP012306.1	84919	85860		plus	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	mraW	0	protein-coding		BAL37394.1	313	ECMDS42_0075
AP012306.1	85857	86222		plus	membrane bound cell division protein at septum containing leucine zipper motif	ftsL	0	protein-coding		BAL37395.1	121	ECMDS42_0076
AP012306.1	86238	88004		plus	transpeptidase	ftsI	0	protein-coding		BAL37396.1	588	ECMDS42_0077
AP012306.1	87991	89478		plus	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	murE	0	protein-coding		BAL37397.1	495	ECMDS42_0078
AP012306.1	89475	90833		plus	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	murF	0	protein-coding		BAL37398.1	452	ECMDS42_0079
AP012306.1	90827	91909		plus	phospho-N-acetylmuramoyl-pentapeptide transferase	mraY	0	protein-coding		BAL37399.1	360	ECMDS42_0080
AP012306.1	91912	93228		plus	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	murD	0	protein-coding		BAL37400.1	438	ECMDS42_0081
AP012306.1	93228	94472		plus	integral membrane protein	ftsW	0	protein-coding		BAL37401.1	414	ECMDS42_0082
AP012306.1	94469	95536		plus	N-acetylglucosaminyl transferase	murG	0	protein-coding		BAL37402.1	355	ECMDS42_0083
AP012306.1	95590	97065		plus	UDP-N-acetylmuramate:L-alanine ligase	murC	0	protein-coding		BAL37403.1	491	ECMDS42_0084
AP012306.1	97058	97978		plus	D-Alanine:D-alanine ligase	ddlB	0	protein-coding		BAL37404.1	306	ECMDS42_0085
AP012306.1	97980	98810		plus	membrane anchored protein	ftsQ	0	protein-coding		BAL37405.1	276	ECMDS42_0086
AP012306.1	98807	100069		plus	ATP-binding cell division protein	ftsA	0	protein-coding		BAL37406.1	420	ECMDS42_0087
AP012306.1	100130	101281		plus	GTP-binding tubulin-like cell division protein	ftsZ	0	protein-coding		BAL37407.1	383	ECMDS42_0088
AP012306.1	101382	102299		plus	UDP-3-O-acyl N-acetylglucosamine deacetylase	lpxC	0	protein-coding		BAL37408.1	305	ECMDS42_0089
AP012306.1	102530	103042		plus	regulator of secA translation	secM	0	protein-coding		BAL37409.1	170	ECMDS42_0090
AP012306.1	103104	105809		plus	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon	secA	0	protein-coding		BAL37410.1	901	ECMDS42_0091
AP012306.1	105869	106258		plus	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	mutT	0	protein-coding		BAL37411.1	129	ECMDS42_0092
AP012306.1	106474	106671		minus	conserved protein	yacG	0	protein-coding		BAL37412.1	65	ECMDS42_0093
AP012306.1	106681	107424		minus	conserved protein	yacF	0	protein-coding		BAL37413.1	247	ECMDS42_0094
AP012306.1	107424	108044		minus	dephospho-CoA kinase	coaE	0	protein-coding		BAL37414.1	206	ECMDS42_0095
AP012306.1	108269	109312		plus	GMP reductase	guaC	0	protein-coding		BAL37415.1	347	ECMDS42_0096
AP012306.1	109347	110549		minus	assembly protein in type IV pilin biogenesis, transmembrane protein	hofC	0	protein-coding		BAL37416.1	400	ECMDS42_0097
AP012306.1	110539	111924		minus	conserved protein with nucleoside triphosphate hydrolase domain	hofB	0	protein-coding		BAL37417.1	461	ECMDS42_0098
AP012306.1	111934	112374		minus	predicted major pilin subunit	ppdD	0	protein-coding		BAL37418.1	146	ECMDS42_0099
AP012306.1	112577	113470		minus	quinolinate phosphoribosyltransferase	nadC	0	protein-coding		BAL37419.1	297	ECMDS42_0100
AP012306.1	113558	114109		plus	N-acetyl-anhydromuranmyl-L-alanine amidase	ampD	0	protein-coding		BAL37420.1	183	ECMDS42_0101
AP012306.1	114106	114960		plus	predicted inner membrane protein	ampE	0	protein-coding		BAL37421.1	284	ECMDS42_0102
AP012306.1	115003	116376		minus	aromatic amino acid transporter	aroP	0	protein-coding		BAL37422.1	457	ECMDS42_0103
AP012306.1	116917	117681		plus	DNA-binding transcriptional dual regulator	pdhR	0	protein-coding		BAL37423.1	254	ECMDS42_0104
AP012306.1	117842	120505		plus	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	aceE	0	protein-coding		BAL37424.1	887	ECMDS42_0105
AP012306.1	120520	122412		plus	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	aceF	0	protein-coding		BAL37425.1	630	ECMDS42_0106
AP012306.1	122737	124161		plus	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	lpd	0	protein-coding		BAL37426.1	474	ECMDS42_0107
AP012306.1	124232	126085		minus	predicted protein	yacH	0	protein-coding		BAL37427.1	617	ECMDS42_0108
AP012306.1	126440	129037		plus	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB	0	protein-coding		BAL37428.1	865	ECMDS42_0109
AP012306.1	129213	129575		plus	conserved protein	yacL	0	protein-coding		BAL37429.1	120	ECMDS42_0110
AP012306.1	129613	130407		minus	S-adenosylmethionine decarboxylase	speD	0	protein-coding		BAL37430.1	264	ECMDS42_0111
AP012306.1	130423	131289		minus	spermidine synthase (putrescine aminopropyltransferase)	speE	0	protein-coding		BAL37431.1	288	ECMDS42_0112
AP012306.1	131395	131742		minus	predicted protein	yacC	0	protein-coding		BAL37432.1	115	ECMDS42_0113
AP012306.1	131908	133458		plus	multicopper oxidase	cueO	0	protein-coding		BAL37433.1	516	ECMDS42_0114
AP012306.1	133660	136050		minus	glucose dehydrogenase	gcd	0	protein-coding		BAL37434.1	796	ECMDS42_0115
AP012306.1	136256	136792		plus	hypoxanthine phosphoribosyltransferase	hpt	0	protein-coding		BAL37435.1	178	ECMDS42_0116
AP012306.1	136833	137495		minus	carbonic anhydrase	can	0	protein-coding		BAL37436.1	220	ECMDS42_0117
AP012306.1	137604	138530		plus	predicted transporter subunit	yadG	0	protein-coding		BAL37437.1	308	ECMDS42_0118
AP012306.1	138527	139297		plus	predicted transporter subunit	yadH	0	protein-coding		BAL37438.1	256	ECMDS42_0119
AP012306.1	139402	139842		plus	predicted PTS Enzyme IIA	yadI	0	protein-coding		BAL37439.1	146	ECMDS42_0120
AP012306.1	139906	141135		plus	predicted polysaccharide deacetylase lipoprotein	yadE	0	protein-coding		BAL37440.1	409	ECMDS42_0121
AP012306.1	141139	141519		minus	aspartate 1-decarboxylase	panD	0	protein-coding		BAL37441.1	126	ECMDS42_0122
AP012306.1	141793	142695		plus	predicted transposase	yadD	0	protein-coding		BAL37442.1	300	ECMDS42_0123
AP012306.1	142769	143620		minus	pantothenate synthetase	panC	0	protein-coding		BAL37443.1	283	ECMDS42_0124
AP012306.1	143632	144426		minus	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	0	protein-coding		BAL37444.1	264	ECMDS42_0125
AP012306.1	144540	145778		minus	predicted fimbrial-like adhesin protein	yadC	0	protein-coding		BAL37445.1	412	ECMDS42_0126
AP012306.1	145828	146424		minus	predicted fimbrial-like adhesin protein	yadK	0	protein-coding		BAL37446.1	198	ECMDS42_0127
AP012306.1	146451	147056		minus	predicted fimbrial-like adhesin protein	yadL	0	protein-coding		BAL37447.1	201	ECMDS42_0128
AP012306.1	147068	147637		minus	predicted fimbrial-like adhesin protein	yadM	0	protein-coding		BAL37448.1	189	ECMDS42_0129
AP012306.1	147654	150251		minus	predicted outer membrane usher protein	htrE	0	protein-coding		BAL37449.1	865	ECMDS42_0130
AP012306.1	150286	151026		minus	predicted periplasmic pilin chaperone	ecpD	0	protein-coding		BAL37450.1	246	ECMDS42_0131
AP012306.1	151124	151708		minus	predicted fimbrial-like adhesin protein	yadN	0	protein-coding		BAL37451.1	194	ECMDS42_0132
AP012306.1	152078	152557		minus	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	folK	0	protein-coding		BAL37452.1	159	ECMDS42_0133
AP012306.1	152554	153951		minus	poly(A) polymerase I	pcnB	0	protein-coding		BAL37453.1	465	ECMDS42_0134
AP012306.1	154011	154937		minus	glutamyl-Q tRNA(Asp) synthetase	yadB	0	protein-coding		BAL37454.1	308	ECMDS42_0135
AP012306.1	154974	155429		minus	transcriptional regulator of rRNA transcription, DnaK suppressor protein	dksA	0	protein-coding		BAL37455.1	151	ECMDS42_0136
AP012306.1	155607	156311		minus	predicted DNA-binding transcriptional regulator	sfsA	0	protein-coding		BAL37456.1	234	ECMDS42_0137
AP012306.1	156326	156856		minus	2'-5' RNA ligase	ligT	0	protein-coding		BAL37457.1	176	ECMDS42_0138
AP012306.1	156930	159359		plus	predicted ATP-dependent helicase	hrpB	0	protein-coding		BAL37458.1	809	ECMDS42_0139
AP012306.1	159555	162089		plus	fused glycosyl transferase and transpeptidase	mrcB	0	protein-coding		BAL37459.1	844	ECMDS42_0140
AP012306.1	162463	163743		minus	glutamate-1-semialdehyde aminotransferase	hemL	0	protein-coding		BAL37460.1	426	ECMDS42_0141
AP012306.1	163968	165389		plus	chloride channel, voltage-gated	clcA	0	protein-coding		BAL37461.1	473	ECMDS42_0142
AP012306.1	165471	165815		plus	conserved protein	yadR	0	protein-coding		BAL37462.1	114	ECMDS42_0143
AP012306.1	165862	166485		minus	conserved inner membrane protein	yadS	0	protein-coding		BAL37463.1	207	ECMDS42_0144
AP012306.1	166523	167323		minus	vitamin B12 transporter subunit	btuF	0	protein-coding		BAL37464.1	266	ECMDS42_0145
AP012306.1	167316	168014		minus	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	pfs	0	protein-coding		BAL37465.1	232	ECMDS42_0146
AP012306.1	168098	169615		plus	deoxyguanosine triphosphate triphosphohydrolase	dgt	0	protein-coding		BAL37466.1	505	ECMDS42_0147
AP012306.1	169745	171169		plus	uncharacterized gene	degP	0	protein-coding		BAL37467.1	474	ECMDS42_0148
AP012306.1	171324	172481		plus	DNA-binding transcriptional regulator	cdaR	0	protein-coding		BAL37468.1	385	ECMDS42_0149
AP012306.1	172570	172956		minus	conserved protein	yaeH	0	protein-coding		BAL37469.1	128	ECMDS42_0150
AP012306.1	173118	173930		minus	predicted phosphatase	yaeI	0	protein-coding		BAL37470.1	270	ECMDS42_0151
AP012306.1	173984	174808		minus	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	dapD	0	protein-coding		BAL37471.1	274	ECMDS42_0152
AP012306.1	174839	177511		minus	uridylyltransferase	glnD	0	protein-coding		BAL37472.1	890	ECMDS42_0153
AP012306.1	177573	178367		minus	methionine aminopeptidase	map	0	protein-coding		BAL37473.1	264	ECMDS42_0154
AP012306.1	178573	178708		plus	uncharacterized gene	tff	0	misc_RNA				ECMDS42_0155
AP012306.1	178735	179460		plus	30S ribosomal subunit protein S2	rpsB	0	protein-coding		BAL37474.1	241	ECMDS42_0156
AP012306.1	179718	180569		plus	protein chain elongation factor EF-Ts	tsf	0	protein-coding		BAL37475.1	283	ECMDS42_0157
AP012306.1	180716	181441		plus	uridylate kinase	pyrH	0	protein-coding		BAL37476.1	241	ECMDS42_0158
AP012306.1	181733	182290		plus	ribosome recycling factor	frr	0	protein-coding		BAL37477.1	185	ECMDS42_0159
AP012306.1	182382	183578		plus	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	0	protein-coding		BAL37478.1	398	ECMDS42_0160
AP012306.1	183764	184525		plus	undecaprenyl pyrophosphate synthase	ispU	0	protein-coding		BAL37479.1	253	ECMDS42_0161
AP012306.1	184538	185395		plus	CDP-diglyceride synthase	cdsA	0	protein-coding		BAL37480.1	285	ECMDS42_0162
AP012306.1	185407	186759		plus	zinc metallopeptidase	yaeL	0	protein-coding		BAL37481.1	450	ECMDS42_0163
AP012306.1	186789	189221		plus	conserved protein	yaeT	0	protein-coding		BAL37482.1	810	ECMDS42_0164
AP012306.1	189343	189828		plus	periplasmic chaperone	hlpA	0	protein-coding		BAL37483.1	161	ECMDS42_0165
AP012306.1	189832	190857		plus	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	lpxD	0	protein-coding		BAL37484.1	341	ECMDS42_0166
AP012306.1	190962	191417		plus	(3R)-hydroxymyristol acyl carrier protein dehydratase	fabZ	0	protein-coding		BAL37485.1	151	ECMDS42_0167
AP012306.1	191421	192209		plus	UDP-N-acetylglucosamine acetyltransferase	lpxA	0	protein-coding		BAL37486.1	262	ECMDS42_0168
AP012306.1	192209	193357		plus	tetraacyldisaccharide-1-P synthase	lpxB	0	protein-coding		BAL37487.1	382	ECMDS42_0169
AP012306.1	193354	193950		plus	ribonuclease HII, degrades RNA of DNA-RNA hybrids	rnhB	0	protein-coding		BAL37488.1	198	ECMDS42_0170
AP012306.1	193987	197469		plus	DNA polymerase III alpha subunit	dnaE	0	protein-coding		BAL37489.1	1160	ECMDS42_0171
AP012306.1	197482	198441		plus	acetylCoA carboxylase, carboxytransferase, alpha subunit	accA	0	protein-coding		BAL37490.1	319	ECMDS42_0172
AP012306.1	198540	200681		plus	lysine decarboxylase 2, constitutive	ldcC	0	protein-coding		BAL37491.1	713	ECMDS42_0173
AP012306.1	200738	201127		plus	predicted lyase	yaeR	0	protein-coding		BAL37492.1	129	ECMDS42_0174
AP012306.1	201192	202490		plus	tRNA(Ile)-lysidine synthetase	tilS	0	protein-coding		BAL37493.1	432	ECMDS42_0175
AP012306.1	202539	202793		minus	modulator of Rho-dependent transcription termination	rof	0	protein-coding		BAL37494.1	84	ECMDS42_0176
AP012306.1	202786	202986		minus	conserved protein	yaeP	0	protein-coding		BAL37495.1	66	ECMDS42_0177
AP012306.1	203152	203697		plus	conserved protein	yaeQ	0	protein-coding		BAL37496.1	181	ECMDS42_0178
AP012306.1	203694	204116		plus	conserved protein	yaeJ	0	protein-coding		BAL37497.1	140	ECMDS42_0179
AP012306.1	204130	204840		plus	lipoprotein	nlpE	0	protein-coding		BAL37498.1	236	ECMDS42_0180
AP012306.1	205040	205864		minus	predicted lipoprotein	yaeF	0	protein-coding		BAL37499.1	274	ECMDS42_0181
AP012306.1	205918	207636		minus	prolyl-tRNA synthetase	proS	0	protein-coding		BAL37500.1	572	ECMDS42_0182
AP012306.1	207748	208455		minus	conserved protein	yaeB	0	protein-coding		BAL37501.1	235	ECMDS42_0183
AP012306.1	208452	208856		minus	predicted outer membrane protein, signal	rcsF	0	protein-coding		BAL37502.1	134	ECMDS42_0184
AP012306.1	208974	209789		minus	DL-methionine transporter subunit	metQ	0	protein-coding		BAL37503.1	271	ECMDS42_0185
AP012306.1	209829	210482		minus	DL-methionine transporter subunit	metI	0	protein-coding		BAL37504.1	217	ECMDS42_0186
AP012306.1	210475	211506		minus	DL-methionine transporter subunit	metN	0	protein-coding		BAL37505.1	343	ECMDS42_0187
AP012306.1	211694	212269		plus	D,D-heptose 1,7-bisphosphate phosphatase	gmhB	0	protein-coding		BAL37506.1	191	ECMDS42_0188
AP012306.1	212632	214173		plus	16S ribosomal RNA (rrsH)	rrsH	0	rRNA				ECMDS42_0189
AP012306.1	214242	214318		plus	tRNA-Ile	ileV	0	tRNA				ECMDS42_0190
AP012306.1	214361	214436		plus	tRNA-Ala	alaV	0	tRNA				ECMDS42_0191
AP012306.1	214620	217524		plus	23S ribosomal RNA (rrlH)	rrlH	0	rRNA				ECMDS42_0192
AP012306.1	217618	217737		plus	5S ribosomal RNA (rrfH)	rrfH	0	rRNA				ECMDS42_0193
AP012306.1	217790	217866		plus	tRNA-Asp	aspU	0	tRNA				ECMDS42_0194
AP012306.1	218029	218832		plus	2,5-diketo-D-gluconate reductase B	dkgB	0	protein-coding		BAL37507.1	267	ECMDS42_0195
AP012306.1	218829	219743		minus	predicted DNA-binding transcriptional regulator	yafC	0	protein-coding		BAL37508.1	304	ECMDS42_0196
AP012306.1	219984	220784		plus	conserved protein	yafD	0	protein-coding		BAL37509.1	266	ECMDS42_0197
AP012306.1	220788	221411		plus	predicted S-adenosyl-L-methionine-dependent methyltransferase	yafE	0	protein-coding		BAL37510.1	207	ECMDS42_0198
AP012306.1	221459	222817		minus	predicted membrane-bound lytic murein transglycosylase D	mltD	0	protein-coding		BAL37511.1	452	ECMDS42_0199
AP012306.1	222889	223644		minus	predicted hydroxyacylglutathione hydrolase	gloB	0	protein-coding		BAL37512.1	251	ECMDS42_0200
AP012306.1	223678	224400		plus	predicted S-adenosyl-L-methionine-dependent methyltransferase	yafS	0	protein-coding		BAL37513.1	240	ECMDS42_0201
AP012306.1	224397	224864		minus	ribonuclease HI, degrades RNA of DNA-RNA hybrids	rnhA	0	protein-coding		BAL37514.1	155	ECMDS42_0202
AP012306.1	224929	225660		plus	DNA polymerase III epsilon subunit	dnaQ	0	protein-coding		BAL37515.1	243	ECMDS42_0203
AP012306.1	225793	225869		plus	tRNA-Asp	aspV	0	tRNA				ECMDS42_0204
AP012306.1	226197	226982		plus	predicted aminopeptidase	yafT	0	protein-coding		BAL37516.1	261	ECMDS42_0205
AP012306.1	227608	227946		minus	predicted inner membrane protein	yafU	0	protein-coding		BAL37517.1	112	ECMDS42_0206
AP012306.1	228052	228240		plus	conserved protein	yafF	0	protein-coding		BAL37518.1	62	ECMDS42_0207
AP012306.1	228281	229051		minus	predicted C-N hydrolase family amidase, NAD(P)-binding	yafV	0	protein-coding		BAL37519.1	256	ECMDS42_0208
AP012306.1	229205	229678		plus	inhibitor of vertebrate C-lysozyme	ivy	0	protein-coding		BAL37520.1	157	ECMDS42_0209
AP012306.1	229721	232165		minus	acyl coenzyme A dehydrogenase	fadE	0	protein-coding		BAL37521.1	814	ECMDS42_0210
AP012306.1	232405	232983		plus	D-sedoheptulose 7-phosphate isomerase	lpcA	0	protein-coding		BAL37522.1	192	ECMDS42_0211
AP012306.1	233189	233956		plus	predicted amidotransfease	yafJ	0	protein-coding		BAL37523.1	255	ECMDS42_0212
AP012306.1	233927	234667		minus	conserved protein	yafK	0	protein-coding		BAL37524.1	246	ECMDS42_0213
AP012306.1	234823	235101		minus	predicted toxin of the YafQ-DinJ toxin-antitoxin system	yafQ	0	protein-coding		BAL37525.1	92	ECMDS42_0214
AP012306.1	235104	235364		minus	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	dinJ	0	protein-coding		BAL37526.1	86	ECMDS42_0215
