Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
U00096.3	84368	85312		plus	DNA-binding transcriptional dual regulator LeuO	leuO	0	protein-coding		AAC73187.2	314	b0076
U00096.3	85467	85511		minus	protein YabR	yabR	0	protein-coding		AYC08164.1	14	b4726
U00096.3	85630	87354		plus	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit	ilvI	0	protein-coding		AAC73188.2	574	b0077
U00096.3	87357	87848		plus	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit	ilvH	0	protein-coding		AAC73189.1	163	b0078
U00096.3	88028	89032		plus	DNA-binding transcriptional dual regulator Cra	cra	0	protein-coding		AAC73191.1	334	b0080
U00096.3	89634	90092		plus	DNA-binding transcriptional repressor MraZ	mraZ	0	protein-coding		AAC73192.1	152	b0081
U00096.3	90094	91035		plus	16S rRNA m(4)C1402 methyltransferase	rsmH	0	protein-coding		AAC73193.1	313	b0082
U00096.3	91032	91397		plus	cell division protein FtsL	ftsL	0	protein-coding		AAC73194.1	121	b0083
U00096.3	91413	93179		plus	peptidoglycan DD-transpeptidase FtsI	ftsI	0	protein-coding		AAC73195.1	588	b0084
U00096.3	92485	92658		plus	small regulatory RNA FtsO	ftsO	0	ncRNA				b4810
U00096.3	93166	94653		plus	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE	0	protein-coding		AAC73196.1	495	b0085
U00096.3	94650	96008		plus	D-alanyl-D-alanine-adding enzyme	murF	0	protein-coding		AAC73197.1	452	b0086
U00096.3	96002	97084		plus	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	0	protein-coding		AAC73198.1	360	b0087
U00096.3	97087	98403		plus	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD	0	protein-coding		AAC73199.1	438	b0088
U00096.3	98403	99647		plus	peptidoglycan glycosyltransferase FtsW	ftsW	0	protein-coding		AAC73200.1	414	b0089
U00096.3	99644	100711		plus	N-acetylglucosaminyl transferase	murG	0	protein-coding		AAC73201.1	355	b0090
U00096.3	100765	102240		plus	UDP-N-acetylmuramate--L-alanine ligase	murC	0	protein-coding		AAC73202.1	491	b0091
U00096.3	102233	103153		plus	D-alanine--D-alanine ligase B	ddlB	0	protein-coding		AAC73203.1	306	b0092
U00096.3	103155	103985		plus	cell division protein FtsQ	ftsQ	0	protein-coding		AAC73204.1	276	b0093
U00096.3	103982	105244		plus	cell division protein FtsA	ftsA	0	protein-coding		AAC73205.1	420	b0094
U00096.3	105305	106456		plus	cell division protein FtsZ	ftsZ	0	protein-coding		AAC73206.1	383	b0095
U00096.3	106557	107474		plus	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC	0	protein-coding		AAC73207.1	305	b0096
U00096.3	107705	108217		plus	SecA translation regulator	secM	0	protein-coding		AAC73208.2	170	b0097
U00096.3	108279	110984		plus	protein translocation ATPase	secA	0	protein-coding		AAC73209.1	901	b0098
U00096.3	111044	111433		plus	8-oxo-dGTP diphosphatase	mutT	0	protein-coding		AAC73210.1	129	b0099
U00096.3	111649	111846		minus	DNA gyrase inhibitor YacG	yacG	0	protein-coding		AAC73212.1	65	b0101
U00096.3	111856	112599		minus	cell division factor ZapD	zapD	0	protein-coding		AAC73213.1	247	b0102
U00096.3	112599	113219		minus	dephospho-CoA kinase	coaE	0	protein-coding		AAC73214.1	206	b0103
U00096.3	113244	113288		plus	protein YacM	yacM	0	protein-coding		AYC08165.1	14	b4727
U00096.3	113444	114487		plus	GMP reductase	guaC	0	protein-coding		AAC73215.1	347	b0104
U00096.3	114522	115724		minus	inner membrane protein HofC	hofC	0	protein-coding		AAC73217.1	400	b0106
U00096.3	115714	117099		minus	T2SSE family protein	hofB	0	protein-coding		AAC73218.1	461	b0107
U00096.3	117109	117549		minus	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	ppdD	0	protein-coding		AAC73219.1	146	b0108
U00096.3	117752	118645		minus	quinolinate phosphoribosyltransferase (decarboxylating)	nadC	0	protein-coding		AAC73220.1	297	b0109
U00096.3	118733	119284		plus	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	ampD	0	protein-coding		AAC73221.1	183	b0110
U00096.3	119281	120135		plus	protein AmpE	ampE	0	protein-coding		AAC73222.1	284	b0111
U00096.3	120178	121551		minus	aromatic amino acid:H(+) symporter AroP	aroP	0	protein-coding		AAC73223.1	457	b0112
U00096.3	122092	122856		plus	DNA-binding transcriptional dual regulator PdhR	pdhR	0	protein-coding		AAC73224.1	254	b0113
U00096.3	123017	125680		plus	pyruvate dehydrogenase E1 component	aceE	0	protein-coding		AAC73225.1	887	b0114
U00096.3	125695	127587		plus	pyruvate dehydrogenase, E2 subunit	aceF	0	protein-coding		AAC73226.1	630	b0115
U00096.3	127912	129336		plus	lipoamide dehydrogenase	lpd	0	protein-coding		AAC73227.1	474	b0116
U00096.3	129407	131260		minus	DUF3300 domain-containing protein YacH	yacH	0	protein-coding		AAC73228.1	617	b0117
U00096.3	131615	134212		plus	AcnB	acnB	0	protein-coding		AAC73229.1	865	b0118
U00096.3	134388	134750		plus	PF06062 family protein YacL	yacL	0	protein-coding		AAC73230.2	120	b0119
U00096.3	134788	135582		minus	S-adenosylmethionine decarboxylase proenzyme	speD	0	protein-coding		AAC73231.1	264	b0120
U00096.3	135598	136464		minus	spermidine synthase	speE	0	protein-coding		AAC73232.1	288	b0121
U00096.3	136570	136917		minus	putative lipoprotein YacC	yacC	0	protein-coding		AAC73233.2	115	b0122
U00096.3	137083	138633		plus	multicopper oxidase CueO	cueO	0	protein-coding		AAC73234.1	516	b0123
U00096.3	138835	141225		minus	quinoprotein glucose dehydrogenase	gcd	0	protein-coding		AAC73235.1	796	b0124
U00096.3	141431	141967		plus	hypoxanthine phosphoribosyltransferase	hpt	0	protein-coding		AAC73236.2	178	b0125
U00096.3	142008	142670		minus	carbonic anhydrase 2	can	0	protein-coding		AAC73237.1	220	b0126
U00096.3	142779	143705		plus	putative ABC transporter ATP-binding protein YadG	yadG	0	protein-coding		AAC73238.1	308	b0127
U00096.3	143702	144472		plus	putative ABC transporter membrane subunit YadH	yadH	0	protein-coding		AAC73239.1	256	b0128
U00096.3	144577	145017		plus	putative PTS enzyme IIA component YadI	yadI	0	protein-coding		AAC73240.1	146	b0129
U00096.3	145081	146310		plus	putative polysaccharide deacetylase lipoprotein YadE	yadE	0	protein-coding		AAC73241.1	409	b0130
U00096.3	146314	146694		minus	aspartate 1-decarboxylase proenzyme	panD	0	protein-coding		AAC73242.1	126	b0131
U00096.3	146968	147870		plus	recombination-promoting nuclease RpnC	rpnC	0	protein-coding		AAC73243.1	300	b0132
U00096.3	147944	148795		minus	pantothenate synthetase	panC	0	protein-coding		AAC73244.1	283	b0133
U00096.3	148807	149601		minus	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	0	protein-coding		AAC73245.1	264	b0134
U00096.3	149715	150953		minus	fimbrial tip-adhesin YadC	yadC	0	protein-coding		AAC73246.1	412	b0135
U00096.3	151003	151599		minus	putative fimbrial protein YadK	yadK	0	protein-coding		AAC73247.1	198	b0136
U00096.3	151626	152231		minus	putative fimbrial protein YadL	yadL	0	protein-coding		AAC73248.1	201	b0137
U00096.3	152243	152812		minus	putative fimbrial protein YadM	yadM	0	protein-coding		AAC73249.2	189	b0138
U00096.3	152829	155426		minus	putative fimbrial usher protein HtrE	htrE	0	protein-coding		AAC73250.1	865	b0139
U00096.3	155461	156201		minus	putative fimbrial chaperone YadV	yadV	0	protein-coding		AAC73251.1	246	b0140
U00096.3	156299	156883		minus	putative fimbrial protein YadN	yadN	0	protein-coding		AAC73252.1	194	b0141
U00096.3	157253	157732		minus	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	0	protein-coding		AAC73253.1	159	b0142
U00096.3	157729	159126		minus	poly(A) polymerase I	pcnB	0	protein-coding		AAC73254.2	465	b0143
U00096.3	159186	160112		minus	glutamyl-Q tRNA(Asp) synthetase	gluQ	0	protein-coding		AAC73255.3	308	b0144
U00096.3	160149	160604		minus	RNA polymerase-binding transcription factor DksA	dksA	0	protein-coding		AAC73256.1	151	b0145
U00096.3	160782	161486		minus	sugar fermentation stimulation protein A	sfsA	0	protein-coding		AAC73257.1	234	b0146
U00096.3	161501	162031		minus	RNA 2',3'-cyclic phosphodiesterase	thpR	0	protein-coding		AAC73258.2	176	b0147
U00096.3	162105	164534		plus	RNA-dependent NTPase HrpB	hrpB	0	protein-coding		AAC73259.2	809	b0148
U00096.3	164730	167264		plus	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	mrcB	0	protein-coding		AAC73260.1	844	b0149
U00096.3	167484	169727		plus	ferrichrome outer membrane transporter/phage receptor	fhuA	0	protein-coding		AAC73261.1	747	b0150
U00096.3	169778	170575		plus	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuC	0	protein-coding		AAC73262.1	265	b0151
U00096.3	170575	171465		plus	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuD	0	protein-coding		AAC73263.1	296	b0152
U00096.3	171462	173444		plus	iron(III) hydroxamate ABC transporter membrane subunit	fhuB	0	protein-coding		AAC73264.1	660	b0153
U00096.3	173602	174882		minus	glutamate-1-semialdehyde 2,1-aminomutase	hemL	0	protein-coding		AAC73265.1	426	b0154
U00096.3	175048	175095		plus	protein YadX	yadX	0	protein-coding		QNV50518.1	15	b4765
U00096.3	175107	176528		plus	chloride:H(+) antiporter ClcA	clcA	0	protein-coding		AAC73266.1	473	b0155
U00096.3	176552	176617		plus	protein YadW	yadW	0	protein-coding		AYC08166.1	21	b4728
U00096.3	176610	176954		plus	iron-sulfur cluster insertion protein ErpA	erpA	0	protein-coding		AAC73267.1	114	b0156
U00096.3	177001	177624		minus	PF03458 family protein YadS	yadS	0	protein-coding		AAC73268.1	207	b0157
U00096.3	177662	178462		minus	vitamin B12 ABC transporter periplasmic binding protein	btuF	0	protein-coding		AAC73269.1	266	b0158
U00096.3	178455	179153		minus	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn	0	protein-coding		AAC73270.1	232	b0159
U00096.3	179237	180754		plus	dGTP triphosphohydrolase	dgt	0	protein-coding		AAC73271.1	505	b0160
U00096.3	180884	182308		plus	periplasmic serine endoprotease DegP	degP	0	protein-coding		AAC73272.1	474	b0161
U00096.3	182463	183620		plus	DNA-binding transcriptional activator CdaR	cdaR	0	protein-coding		AAC73273.2	385	b0162
U00096.3	183709	184095		minus	DUF3461 domain-containing protein YaeH	yaeH	0	protein-coding		AAC73274.1	128	b0163
U00096.3	184257	185069		minus	phosphodiesterase YaeI	yaeI	0	protein-coding		AAC73275.2	270	b0164
U00096.3	185123	185947		minus	tetrahydrodipicolinate succinylase	dapD	0	protein-coding		AAC73277.1	274	b0166
U00096.3	185978	188650		minus	protein-PII uridylyltransferase/uridylyl-removing enzyme	glnD	0	protein-coding		AAC73278.1	890	b0167
U00096.3	188712	189506		minus	methionine aminopeptidase	map	0	protein-coding		AAC73279.1	264	b0168
U00096.3	189712	189847		plus	putative small RNA T44	tff	0	ncRNA				b4414
U00096.3	189874	190599		plus	30S ribosomal subunit protein S2	rpsB	0	protein-coding		AAC73280.1	241	b0169
U00096.3	190857	191708		plus	protein chain elongation factor EF-Ts	tsf	0	protein-coding		AAC73281.1	283	b0170
U00096.3	191855	192580		plus	UMP kinase	pyrH	0	protein-coding		AAC73282.1	241	b0171
U00096.3	192872	193429		plus	ribosome-recycling factor	frr	0	protein-coding		AAC73283.1	185	b0172
U00096.3	193521	194717		plus	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	0	protein-coding		AAC73284.1	398	b0173
U00096.3	194784	194844		plus	small regulatory RNA IspZ	ispZ	0	ncRNA				b4809
U00096.3	194903	195664		plus	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	ispU	0	protein-coding		AAC73285.1	253	b0174
U00096.3	195677	196534		plus	CDP-diglyceride synthetase	cdsA	0	protein-coding		AAC73286.2	285	b0175
U00096.3	196546	197898		plus	intramembrane zinc metalloprotease RseP	rseP	0	protein-coding		AAC73287.1	450	b0176
U00096.3	197928	200360		plus	outer membrane protein assembly factor BamA	bamA	0	protein-coding		AAC73288.1	810	b0177
U00096.3	200482	200967		plus	periplasmic chaperone Skp	skp	0	protein-coding		AAC73289.1	161	b0178
U00096.3	200971	201996		plus	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	0	protein-coding		AAC73290.1	341	b0179
U00096.3	202101	202556		plus	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ	0	protein-coding		AAC73291.1	151	b0180
U00096.3	202560	203348		plus	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	0	protein-coding		AAC73292.1	262	b0181
U00096.3	203348	204496		plus	lipid A disaccharide synthase	lpxB	0	protein-coding		AAC73293.1	382	b0182
U00096.3	204493	205089		plus	RNase HII	rnhB	0	protein-coding		AAC73294.1	198	b0183
U00096.3	205126	208608		plus	DNA polymerase III subunit alpha	dnaE	0	protein-coding		AAC73295.1	1160	b0184
U00096.3	208621	209580		plus	acetyl-CoA carboxyltransferase subunit alpha	accA	0	protein-coding		AAC73296.1	319	b0185
U00096.3	209679	211820		plus	lysine decarboxylase 2	ldcC	0	protein-coding		AAC73297.1	713	b0186
U00096.3	211877	212266		plus	VOC domain-containing protein YaeR	yaeR	0	protein-coding		AAC73298.2	129	b0187
U00096.3	212331	213629		plus	tRNA(Ile)-lysidine synthetase	tilS	0	protein-coding		AAC73299.1	432	b0188
U00096.3	213678	213932		minus	modulator of Rho-dependent transcription termination	rof	0	protein-coding		AAC73300.2	84	b0189
U00096.3	213925	214125		minus	PF06786 family protein YaeP	yaeP	0	protein-coding		AAT48124.1	66	b4406
U00096.3	214291	214836		plus	uncharacterized protein YaeQ	yaeQ	0	protein-coding		AAC73301.1	181	b0190
U00096.3	214833	215255		plus	peptidyl-tRNA hydrolase, ribosome rescue factor	arfB	0	protein-coding		AAC73302.1	140	b0191
U00096.3	215269	215979		plus	sensor lipoprotein NlpE	nlpE	0	protein-coding		AAC73303.1	236	b0192
U00096.3	216179	217003		minus	peptidase C92 family protein YaeF	yaeF	0	protein-coding		AAC73304.2	274	b0193
U00096.3	217057	218775		minus	proline--tRNA ligase	proS	0	protein-coding		AAC73305.1	572	b0194
U00096.3	218887	219594		minus	tRNA m(6)t(6)A37 methyltransferase	trmO	0	protein-coding		AAC73306.1	235	b0195
U00096.3	219591	219995		minus	sensor lipoprotein RcsF	rcsF	0	protein-coding		AAC73307.1	134	b0196
U00096.3	220113	220928		minus	L-methionine/D-methionine ABC transporter membrane anchored binding protein	metQ	0	protein-coding		AAC73308.1	271	b0197
U00096.3	220968	221621		minus	L-methionine/D-methionine ABC transporter membrane subunit	metI	0	protein-coding		AAC73309.1	217	b0198
U00096.3	221614	222645		minus	L-methionine/D-methionine ABC transporter ATP binding subunit	metN	0	protein-coding		AAC73310.1	343	b0199
U00096.3	222833	223408		plus	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	gmhB	0	protein-coding		AAC73311.1	191	b0200
U00096.3	223771	225312		plus	16S ribosomal RNA	rrsH	0	rRNA				b0201
U00096.3	225381	225457		plus	tRNA-Ile	ileV	0	tRNA				b0202
U00096.3	225500	225575		plus	tRNA-Ala	alaV	0	tRNA				b0203
U00096.3	225759	228662		plus	23S ribosomal RNA	rrlH	0	rRNA				b0204
U00096.3	228756	228875		plus	5S ribosomal RNA	rrfH	0	rRNA				b0205
U00096.3	228928	229004		plus	tRNA-Asp	aspU	0	tRNA				b0206
U00096.3	229167	229970		plus	methylglyoxal reductase DkgB	dkgB	0	protein-coding		AAC73312.1	267	b0207
U00096.3	229967	230881		minus	DNA-binding transcriptional regulator YafC	yafC	0	protein-coding		AAC73313.1	304	b0208
U00096.3	231122	231922		plus	endonuclease/exonuclease/phosphatase domain-containing protein YafD	yafD	0	protein-coding		AAC73314.1	266	b0209
U00096.3	231926	232549		plus	putative S-adenosylmethionine-dependent methyltransferase	yafE	0	protein-coding		AAC73315.1	207	b0210
U00096.3	232597	233955		minus	membrane-bound lytic murein transglycosylase D	mltD	0	protein-coding		AAC73316.1	452	b0211
U00096.3	234027	234782		minus	hydroxyacylglutathione hydrolase GloB	gloB	0	protein-coding		AAC73317.1	251	b0212
U00096.3	234288	234320		plus	protein YkfO	ykfO	0	protein-coding		UMR55111.1	10	b4815
U00096.3	234816	235538		plus	putative S-adenosyl-L-methionine-dependent methyltransferase	yafS	0	protein-coding		AAC73318.2	240	b0213
U00096.3	235535	236002		minus	ribonuclease HI	rnhA	0	protein-coding		AAC73319.1	155	b0214
U00096.3	236067	236798		plus	DNA polymerase III subunit epsilon	dnaQ	0	protein-coding		AAC73320.1	243	b0215
U00096.3	236931	237007		plus	tRNA-Asp	aspV	0	tRNA				b0216
U00096.3	237335	238120		plus	lipoprotein YafT	yafT	0	protein-coding		AAC73321.1	261	b0217
U00096.3	238257	238736		minus	uncharacterized protein YkfM	ykfM	0	protein-coding		ABP93434.1	159	b4586
U00096.3	238746	239084		minus	uncharacterized gene	yafU	0	pseudogene				b0218
U00096.3	239190	239378		plus	uncharacterized gene	yafF	0	pseudogene				b4503
U00096.3	239419	240189		minus	2-oxoglutaramate amidase	yafV	0	protein-coding		AAC73323.1	256	b0219
U00096.3	240343	240816		plus	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme	ivy	0	protein-coding		AAC73324.1	157	b0220
U00096.3	240859	243303		minus	acyl-CoA dehydrogenase	fadE	0	protein-coding		AAC73325.2	814	b0221
U00096.3	243543	244121		plus	D-sedoheptulose 7-phosphate isomerase	gmhA	0	protein-coding		AAC73326.1	192	b0222
U00096.3	244327	245094		plus	putative glutamine amidotransferase YafJ	yafJ	0	protein-coding		AAC73327.1	255	b0223
U00096.3	245065	245805		minus	peptidoglycan meso-diaminopimelic acid protein amidase A	dpaA	0	protein-coding		AAC73328.1	246	b0224
U00096.3	245961	246239		minus	ribosome-dependent mRNA interferase toxin YafQ	yafQ	0	protein-coding		AAC73329.1	92	b0225
U00096.3	246242	246502		minus	antitoxin/DNA-binding transcriptional repressor DinJ	dinJ	0	protein-coding		AAC73330.1	86	b0226
U00096.3	246712	247461		plus	NlpC/P60 family protein YafL	yafL	0	protein-coding		AAC73331.1	249	b0227
U00096.3	247637	248134		plus	REP-associated tyrosine transposase	rayT	0	protein-coding		AAC73332.1	165	b0228
U00096.3	248358	250070		minus	uncharacterized gene	lfhA	0	pseudogene				b0229
